"rownames","Manufacturer","Model","Type","Min.Price","Price","Max.Price","MPG.city","MPG.highway","AirBags","DriveTrain","Cylinders","EngineSize","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Passengers","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","Make","Price.norm","Horsepower.norm","Price.log"
1,"Acura","Integra","Small",12.9,15.9,18.8,25,31,"None","Front","4",1.8,140,6300,2890,"Yes",13.2,5,177,102,68,37,26.5,11,2705,"non-USA","Acura Integra",0.155963302752294,0.346938775510204,2.76631910922619
2,"Acura","Legend","Midsize",29.2,33.9,38.7,18,25,"Driver & Passenger","Front","6",3.2,200,5500,2335,"Yes",18,5,195,115,71,38,30,15,3560,"non-USA","Acura Legend",0.486238532110092,0.591836734693878,3.5234150143864
3,"Audi","90","Compact",25.9,29.1,32.3,20,26,"Driver only","Front","6",2.8,172,5500,2280,"Yes",16.9,5,180,102,67,37,28,14,3375,"non-USA","Audi 90",0.398165137614679,0.477551020408163,3.37073817417745
4,"Audi","100","Midsize",30.8,37.7,44.6,19,26,"Driver & Passenger","Front","6",2.8,172,5500,2535,"Yes",21.1,6,193,106,70,37,31,17,3405,"non-USA","Audi 100",0.555963302752294,0.477551020408163,3.62966009445396
5,"BMW","535i","Midsize",23.7,30,36.2,22,30,"Driver only","Rear","4",3.5,208,5700,2545,"Yes",21.1,4,186,109,69,39,27,13,3640,"non-USA","BMW 535i",0.414678899082569,0.624489795918367,3.40119738166216
6,"Buick","Century","Midsize",14.2,15.7,17.3,22,31,"Driver only","Front","4",2.2,110,5200,2565,"No",16.4,6,189,105,69,41,28,16,2880,"USA","Buick Century",0.152293577981651,0.224489795918367,2.75366071235426
7,"Buick","LeSabre","Large",19.9,18.4,21.7,19,28,"Driver only","Front","6",3.8,170,4800,1570,"No",18,6,200,111,74,42,30.5,17,3470,"USA","Buick LeSabre",0.201834862385321,0.469387755102041,2.91235066461494
8,"Buick","Roadmaster","Large",22.6,23.7,24.9,16,25,"Driver only","Rear","6",5.7,180,4000,1320,"No",23,6,216,116,78,45,30.5,21,4105,"USA","Buick Roadmaster",0.299082568807339,0.510204081632653,3.16547504814109
9,"Buick","Riviera","Small",26.3,26.3,26.3,19,27,"Driver only","Front","6",3.8,170,4800,1690,"No",18.8,5,198,108,73,41,26.5,14,3495,"USA","Buick Riviera",0.346788990825688,0.469387755102041,3.26956893918372
10,"Cadillac","DeVille","Large",33,34.7,36.3,16,25,"Driver only","Front","8",4.9,200,4100,1510,"No",18,6,206,114,73,43,35,18,3620,"USA","Cadillac DeVille",0.500917431192661,0.591836734693878,3.54673968695281
